address,diffamount
0x0ecb17fb82ac51e23bb00c5848381bb19c744468,44759
0x0edfcb8268ea99b4e7a9ec37ee0a5af23b557480,21396
0x0ef1b8a0728b5bddbb2bf5b536d50422d57e6cce,21396
0x0ef657b53f615b132cb1b7881ed1006775ae30d8,18222
0x0efda377dd319f9e1b96646771f390ac0240767d,44759
0x0f04e720914d83ea432a05f2cc236e8e525a3a55,18222
0x0f0a9236f3ee30ff2a5e02d7ee0ff15a8ea6f2ea,14578
0x0f0de6030fed0f76f5c84e4e029a9aa365c0985c,26745
0x0f11640bf66e2d9352d9c41434a5c6e597c5e4c8,26745
0x0f165cee50fcd5c2695c8c9f900646296264bd49,18222
0x0f213042e68244f963adc9a810aafbcf7179a0a7,44759
0x0f2a4c2107c522681d219a572c95d3e7050d3ddc,18222
0x0f2f9da186c25b8d4200a12f40f25699b08ed28e,21396
0x0f32bb3bf66b2fa7df8a5e761ae381bd3359ae23,44759
0x0f39a55c9d2fa08f9d58d0925a28e8a0c9a0f494,44759
0x0f3f8dfe6b89bd1349d0caf06f11196294146fdd,26745
0x0f46e7ff0df5cfce65d3aacf5a26268787aa8b79,14578
0x0f4ed62f8f7f578f41cb97fce1a7f3663d1a8135,35807
0x0f714db0fe9abb4771ef92885c8b22a0e0adc61d,2452128
0x0f82b919fa748fbcfa82cdd970550e09cc9aabe2,16174
0x0fb44352bcfe4c5a53a64dd0fad9a41184a1d609,26745
